Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Fort Stress","Southeast Face > The Fortress > 8 - Summit Crags > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738359/fort-stress,3.3,-1,Sport,5.9+,4,400,32.43213,-110.79756
"Sea of Holes","Central Wall > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105850179/sea-of-holes,3.7,-1,Sport,"5.9+ R",2,350,31.92218,-106.04789
"Hair Raiser Buttress","South Face > Granite Basin > Sagehen Summit Area > Eastern Hills > Sierra Eastside > California",https://www.mountainproject.com/route/105881551/hair-raiser-buttress,3.8,-1,"Trad, Sport","5.9 R",3,,37.90844,-118.81428
"Eye-Full Tower","Bracksiek's Pillar > South Hills > Castle Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106210372/eye-full-tower,3.4,-1,Sport,5.8,2,160,42.13496,-113.67163
"Flags of Our Fathers","The Bihedral (Upper Tier) > The Bihedral Area > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105882606/flags-of-our-fathers,2.4,-1,"Trad, Sport",5.10a,3,200,40.0035,-105.3964
"Zion Train","A. East Wall > C. Lower Tier > Tiers of Zion > Lookout Mountain Road > Golden > Colorado",https://www.mountainproject.com/route/110250784/zion-train,2.4,-1,Sport,5.10-,2,215,39.74406,-105.24311
"Princess Ella's Magical Adventure","Waterfall Wall > Ouray vicinity (rock) > Colorado",https://www.mountainproject.com/route/107326023/princess-ellas-magical-adventure,3.1,-1,Sport,5.8,4,270,37.97795,-107.65657
"Via dos Italianos","Pao de Acucar (Sugarloaf) > Urca (Pao de Acucar area) > Rio de Janeiro > Brazil > South America > International",https://www.mountainproject.com/route/107546273/via-dos-italianos,3.9,-1,Sport,5.10-,9,700,-22.9499,-43.1591
"The Dead Terrorist","Lower Tier (Left Side) > Lower Tier > Frustration Creek > Highway 38 Crags > San Bernardino Mountains > California",https://www.mountainproject.com/route/107845085/the-dead-terrorist,2.6,-1,Sport,5.8,2,150,34.10202,-116.96535
"Hellgate Highway","Main Hellgate > Hellgate Cliffs > Little Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/112137271/hellgate-highway,2.7,-1,Sport,5.8,4,380,40.59065,-111.6495
