Route,URL,Avg_Stars,Pitches,Length_(feet),Length_(meters),Area_Latitude,Area_Longitude,Loc_1,Loc_2,Loc_3,Loc_4,Loc_5,Loc_6,Route_type1,Route_type2,Route_type3,Class,Protection_Rating,Aid_Grading
Excalibur,https://www.mountainproject.com/route/110054847/excalibur,3.1,6,480,146,25.95043,-100.47762,Ivory Tower,El Toro (The Front Side),,Mexico,North America,International,Sport,,,5.10-,,
Sand Felipe,https://www.mountainproject.com/route/105732785/sand-felipe,2.5,2,110,34,36.03509,-115.46345,North Face,Whiskey Peak,Nevada,USA,North America,Domestic,Sport,,,5.10-,,
Zion Train,https://www.mountainproject.com/route/110250784/zion-train,2.4,2,215,66,39.74406,-105.24311,A. East Wall,C. Lower Tier,Colorado,USA,North America,Domestic,Sport,,,5.10-,,
Via dos Italianos,https://www.mountainproject.com/route/107546273/via-dos-italianos,3.9,9,700,213,-22.9499,-43.1591,Pao de Acucar (Sugarloaf),Urca (Pao de Acucar area),,Brazil,South America,International,Sport,,,5.10-,,
Gratitude,https://www.mountainproject.com/route/105718477/gratitude,2.8,4,350,107,37.19133,-113.64333,Sand Dunes,Island In The Sky,Utah,USA,North America,Domestic,Sport,,,5.10-,,
"The Good, The Bad and The Ugly",https://www.mountainproject.com/route/107177626/the-good-the-bad-and-the-ugly,3.5,3,235,72,38.72652,-106.76942,Gunnison Mountain Park Picnic Area,Taylor Canyon,Colorado,USA,North America,Domestic,Sport,,,5.10-,,
Milky Way,https://www.mountainproject.com/route/105791931/milky-way,2.7,2,100,30,47.53632,-120.71457,Pearly Gates,Snow Creek Area,Washington,USA,North America,Domestic,Sport,,,5.10-,,
Sea of Joy,https://www.mountainproject.com/route/113558351/sea-of-joy,3.8,2,180,55,43.72124,-113.07766,08. Sea of Joy,Mortal Earth,Idaho,USA,North America,Domestic,Sport,,,5.10-,,
The Undertaker,https://www.mountainproject.com/route/114036204/the-undertaker,2.3,2,130,40,39.74438,-105.40288,The Graveyard,Clear Creek Canyon,Colorado,USA,North America,Domestic,Sport,,,5.9+,,
Yves Laforest,https://www.mountainproject.com/route/117514893/yves-laforest,3,2,230,70,47.89634,-69.99224,B. Yves Laforest,Palissades de Charlevoix,,Canada,North America,International,Sport,,,5.9+,,
Voyage of the Cowdog,https://www.mountainproject.com/route/106673268/voyage-of-the-cowdog,3.2,3,260,79,44.36819,-121.1401,(a) Picnic Lunch Wall,Smith Rock,Oregon,USA,North America,Domestic,Sport,,,5.8+,,
Brother Mike,https://www.mountainproject.com/route/107795096/brother-mike,3.1,4,400,122,45.07842,-122.11838,The Steeple,Coethedral,Oregon,USA,North America,Domestic,Sport,,,5.10-,,
Scarecrow,https://www.mountainproject.com/route/107904390/scarecrow,2.5,2,155,47,32.38886,-110.71688,Wall of the Dancing Dwarfs,Munchkinland Area,Arizona,USA,North America,Domestic,Sport,,,5.10-,,
Grimselstrom,https://www.mountainproject.com/route/106522133/grimselstrom,3.5,11,1300,396,46.5829,8.3235,Räterichsboden - Seeplatten,Grimsel,,Switzerland,Europe,International,Sport,,,5.10-,,
Chemin De Kamadjan,https://www.mountainproject.com/route/106641575/chemin-de-kamadjan,3.5,3,250,76,17.7905,-1.7578,L'arche de Kamadjan (The Kamadjan Arch),Siby,,Mali,Africa,International,Sport,,,5.10-,,
Looney Tunes,https://www.mountainproject.com/route/107335215/looney-tunes,3.3,4,400,122,8.17812,98.63873,Big Tree Wall (Khao Khom),Koh Yao Noi,,Thailand,Asia,International,Sport,,,5.10-,,
